"Date","Adj.Close"
2018-06-15,43.59
2018-06-18,43.759998
2018-06-19,41.889999
2018-06-20,41.68
2018-06-21,40.82
2018-06-22,40.82
2018-06-25,39.18
2018-06-26,39.470001
2018-06-27,38.389999
2018-06-28,38.93
2018-06-29,38.950001
2018-07-02,38.790001
2018-07-03,38.380001
2018-07-05,38.540001
2018-07-06,39.459999
2018-07-09,39.400002
2018-07-10,38.59
2018-07-11,37.950001
2018-07-12,38.52
2018-07-13,38.27
2018-07-16,38.040001
2018-07-17,37.990002
2018-07-18,37.529999
2018-07-19,36.880001
2018-07-20,35.509998
2018-07-23,35.66
2018-07-24,35.310001
2018-07-25,36.919998
2018-07-26,36.639999
2018-07-27,36.209999
2018-07-30,35.16
2018-07-31,35.860001
2018-08-01,36.279999
2018-08-02,36.290001
2018-08-03,36.169998
2018-08-06,35.900002
2018-08-07,36.5
2018-08-08,36
2018-08-09,36.02
2018-08-10,35.790001
2018-08-13,35.07
2018-08-14,33.869999
2018-08-15,32.360001
2018-08-16,31.969999
2018-08-17,32.220001
2018-08-20,33.040001
2018-08-21,32.799999
2018-08-22,32.34
2018-08-23,31.389999
2018-08-24,31.4
2018-08-27,32.669998
2018-08-28,32.16
2018-08-29,31.950001
2018-08-30,31
2018-08-31,31.299999
2018-09-04,29.43
2018-09-05,26.299999
2018-09-06,27.25
2018-09-07,26.950001
2018-09-10,26.530001
2018-09-11,27.09
2018-09-12,27.629999
2018-09-13,27.76
2018-09-14,27.110001
2018-09-17,25.73
2018-09-18,25.75
2018-09-19,26.92
2018-09-20,26.93
2018-09-21,26.49
2018-09-24,24.51
2018-09-25,24.540001
2018-09-26,25.200001
2018-09-27,25.43
2018-09-28,26.09
2018-10-01,25.49
2018-10-02,24.9
2018-10-03,25.139999
2018-10-04,24.32
2018-10-05,23.620001
2018-10-08,23.889999
2018-10-09,23.780001
2018-10-10,22.709999
2018-10-11,23.48
2018-10-12,24.450001
2018-10-15,24.139999
2018-10-16,24.629999
2018-10-17,23.68
2018-10-18,23.33
2018-10-19,23.01
2018-10-22,23.540001
2018-10-23,23.23
2018-10-24,21.76
2018-10-25,22.559999
2018-10-26,22.58
2018-10-29,21.98
2018-10-30,22.379999
2018-10-31,23.52
2018-11-01,25.450001
2018-11-02,24.049999
2018-11-05,24.15
2018-11-06,23.6
2018-11-07,24.07
2018-11-08,22.4
2018-11-09,21.700001
2018-11-12,22.01
2018-11-13,22.389999
2018-11-14,22.76
2018-11-15,24.200001
2018-11-16,23.049999
2018-11-19,21.110001
2018-11-20,19.49
2018-11-21,20.34
2018-11-23,19.27
2018-11-26,20.459999
2018-11-27,20.84
2018-11-28,21.379999
2018-11-29,20.969999
2018-11-30,21.23
2018-12-03,22.01
2018-12-04,21.450001
2018-12-06,21.23
2018-12-07,20.93
2018-12-10,20.51
2018-12-11,20.91
2018-12-12,21.889999
2018-12-13,22.709999
2018-12-14,22.17
2018-12-17,21.35
2018-12-18,21.040001
2018-12-19,20.17
2018-12-20,19.91
2018-12-21,21.08
2018-12-24,19.75
2018-12-26,21.1
2018-12-27,21.700001
2018-12-28,21.709999
2018-12-31,20.93
2019-01-02,21.27
2019-01-03,20.35
2019-01-04,22.27
2019-01-07,22.76
2019-01-08,22.950001
2019-01-09,23.690001
2019-01-10,23.4
2019-01-11,22.879999
2019-01-14,22.040001
2019-01-15,22.25
2019-01-16,22.33
2019-01-17,22.139999
2019-01-18,23.26
2019-01-22,21.68
2019-01-23,21.969999
2019-01-24,22.1
2019-01-25,23.629999
2019-01-28,23.719999
2019-01-29,23.52
2019-01-30,24.639999
2019-01-31,24.85
2019-02-01,24.629999
2019-02-04,24.290001
2019-02-05,25.42
2019-02-06,25.110001
2019-02-07,23.98
2019-02-08,23.99
2019-02-11,24.280001
2019-02-12,24.68
2019-02-13,24.610001
2019-02-14,24.33
2019-02-15,23.959999
2019-02-19,24.639999
2019-02-20,24.68
2019-02-21,24.27
2019-02-22,25.950001
2019-02-25,26.190001
2019-02-26,26.59
2019-02-27,25.969999
2019-02-28,27.709999
2019-03-01,28.73
2019-03-04,28.889999
2019-03-05,29.35
2019-03-06,29.030001
2019-03-07,27.84
2019-03-08,27.049999
2019-03-11,27.620001
2019-03-12,28.110001
2019-03-13,28.129999
2019-03-14,27.889999
2019-03-15,27.93
2019-03-18,28.139999
2019-03-19,28.309999
2019-03-20,28.08
2019-03-21,28.76
2019-03-22,28
2019-03-25,28.389999
2019-03-26,28.809999
2019-03-27,29.16
2019-03-28,29.41
2019-03-29,30.15
2019-04-01,31.26
2019-04-02,30.290001
2019-04-03,30.309999
2019-04-04,30.25
2019-04-05,31.24
2019-04-08,30.790001
2019-04-09,30.9
2019-04-10,30.17
2019-04-11,30.200001
2019-04-12,30.57
2019-04-15,29.66
2019-04-16,29.91
2019-04-17,29.85
2019-04-18,30.01
2019-04-22,29.65
2019-04-23,29.780001
2019-04-24,29.66
2019-04-25,29.23
2019-04-26,29.129999
2019-04-29,29.865
2019-04-30,30.27
2019-05-01,30.200001
2019-05-02,29.99
2019-05-03,30.049999
2019-05-06,28.700001
2019-05-07,27.129999
2019-05-08,26.889999
2019-05-09,27.51
2019-05-10,28.17
2019-05-13,28.18
2019-05-14,29.67
2019-05-15,30.440001
2019-05-16,30.459999
2019-05-17,29.309999
2019-05-20,28.360001
2019-05-21,29.049999
2019-05-22,28.23
2019-05-23,26.700001
2019-05-24,26.32
2019-05-28,26.290001
2019-05-29,26.01
2019-05-30,26.35
2019-05-31,25.76
2019-06-03,25.76
2019-06-04,26.799999
2019-06-05,26.190001
2019-06-06,26.24
2019-06-07,26.799999
2019-06-10,27.26
2019-06-11,28
2019-06-12,27.24
2019-06-13,27.540001
2019-06-14,27.049999
